"","x"
"869",187463.922086913
"870",175503.217668985
"871",213987.555470236
"872",166857.68238782
"873",213759.555361633
"874",192162.695080256
"875",172871.384243322
"876",180368.899494263
"877",210517.112248604
"878",185114.181094335
"879",170870.481271949
"880",184739.834575944
"881",185608.829336777
"882",193213.008560659
"883",201410.594592511
"884",216276.074404759
"885",199153.049684889
"886",226294.111615151
"887",203512.509652709
"888",186962.616120342
"889",172890.249548521
"890",207133.971977307
"891",229443.386087386
"892",213430.292508878
"893",209626.116720205
"894",163995.442866453
"895",207445.101267541
"896",197509.857762713
"897",173314.778183346
"898",198498.733755901
"899",224732.4991986
"900",191401.20958975
"901",171638.102103201
"902",200728.077062275
"903",189365.421309038
"904",179461.273719407
"905",205920.510571262
"906",182569.581280326
"907",189303.044366217
"908",213704.776098442
"909",211822.971831606
"910",191602.509995399
"911",225447.800316731
"912",168022.543819414
"913",189673.340742849
"914",225990.347568976
"915",206629.695629976
"916",188146.954107339
"917",186641.526650028
"918",204456.660516827
"919",191016.234802242
"920",189547.353461122
"921",213963.475170983
"922",206976.351341561
"923",189859.918086256
"924",221424.50821045
"925",230148.68308268
"926",174325.828988759
"927",218710.728287768
"928",178223.562984844
"929",207568.589126182
"930",180714.374879047
"931",195309.497337833
"932",208987.669019744
"933",200650.249611418
"934",219266.790606815
"935",187743.64417183
"936",202545.618603031
"937",191812.34146512
"938",173975.202380024
"939",190552.869418956
"940",198108.97082167
"941",218426.249784631
"942",183501.105751078
"943",233028.105586492
"944",185572.475522791
"945",190567.72144173
"946",194895.632233862
"947",173649.185232504
"948",193575.733275172
"949",169591.341310638
"950",193905.146339016
"951",178942.819700028
"952",164535.877738352
"953",240731.754361435
"954",198965.052187205
"955",221844.625577566
"956",199957.561073399
"957",201108.554703011
"958",176773.809408947
"959",160576.851491987
"960",186628.391530061
"961",164782.690518658
"962",183454.380198696
"963",172144.218276766
"964",226783.088418742
"965",182338.844845324
"966",169347.72596123
"967",215537.043801723
"968",189159.770053123
"969",154707.589536866
"970",184008.774427583
"971",225183.524003209
"972",174077.257376635
"973",188003.462178344
"974",228427.675583136
"975",207356.801805581
"976",177267.493859533
"977",152405.074152461
"978",182670.608495741
"979",235853.771535928
"980",189961.503324302
"981",165030.296801823
"982",186062.841219985
"983",200802.57934506
"984",176570.131049803
"985",159137.910448372
"986",200212.614695781
"987",229757.131819591
"988",173211.887296256
"989",224170.480815392
"990",173997.04990422
"991",191412.716289898
"992",148747.623716213
"993",182636.103660016
"994",208195.328579774
"995",224320.83412076
"996",188916.615848354
"997",169553.211613108
"998",216304.403844213
"999",214142.279287618
"1000",188202.968556403
"1001",166465.714182381
"1002",175234.065791798
"1003",204239.214792215
"1004",197095.480316343
"1005",166136.61894533
"1006",176935.506736088
"1007",191028.758898398
